Date,GeoID,County,Area,Percentage_in_Poverty,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent_Category
2.02E+07,3.50E+10,Bernalillo,Academy Tramway,0.15,3,111,"5,162",0.0215,4
2.02E+07,3.50E+10,Santa Fe,East Foothills + Eldorado,0.07,2,104,"4,839",0.0215,4
2.02E+07,3.50E+10,Bernalillo,Alameda Edith,0.11,3,132,"6,206",0.0213,4
2.02E+07,3.50E+10,McKinley,Other,0.41,6,45,"2,158",0.0209,4
2.02E+07,3.51E+10,Valencia,Los Lunas,0.17,3,101,"4,842",0.0209,4
2.02E+07,3.50E+10,Bernalillo,Montgomery Louisiana,0.27,4,41,"1,988",0.0206,4
2.02E+07,3.50E+10,San Juan,Farmington Southeast,0.19,3,69,"3,350",0.0206,4
2.02E+07,3.50E+10,Bernalillo,Candelaria Second,0.2,4,111,"5,478",0.0203,4
2.02E+07,3.50E+10,San Juan,Farmington North,0.12,3,45,"2,232",0.0202,4
2.02E+07,3.50E+10,Sandoval,"Rio Rancho Blvd, No.",0.1,2,201,"9,986",0.0201,4
2.02E+07,3.51E+10,Valencia,SE,0.17,3,56,"2,787",0.0201,4
2.02E+07,3.50E+10,Sandoval,"Rio Rancho Blvd, No.",0.08,2,109,"5,442",0.02,4
2.02E+07,3.50E+10,Bernalillo,Central Tabo,0.16,3,86,"4,329",0.0199,4
2.02E+07,3.50E+10,Bernalillo,Indian School Pennsylvania,0.16,3,113,"5,721",0.0198,4
2.02E+07,3.50E+10,Santa Fe,Agua Fria Neighborhood + Downtown,0.14,3,38,"1,924",0.0198,4
2.02E+07,3.50E+10,Bernalillo,Comanche Carlysle,0.22,4,65,"3,302",0.0197,4
2.02E+07,3.50E+10,Bernalillo,Indian School Pennsylvania,0.14,3,67,"3,407",0.0197,4
2.02E+07,3.50E+10,Dona Ana,Mesilla Picacho Mesilla Park,0.13,3,57,"2,890",0.0197,4
2.02E+07,3.51E+10,Valencia,Los Lunas,0.1,2,99,"5,088",0.0195,4
2.02E+07,3.50E+10,Bernalillo,Central Tabo,0.17,3,73,"3,769",0.0194,4
2.02E+07,3.50E+10,Bernalillo,Candelaria Second,0.19,3,57,"2,941",0.0194,4
2.02E+07,3.50E+10,Bernalillo,No. Ninetyeight,0.07,2,131,"6,736",0.0194,4
2.02E+07,3.50E+10,Bernalillo,No. Ninetyeight,0.13,3,124,"6,425",0.0193,4
2.02E+07,3.50E+10,Santa Fe,Bellamah/Stamm,0.19,3,38,"1,967",0.0193,4
2.02E+07,3.50E+10,Sandoval,Other West,0.68,6,56,"2,921",0.0192,4
2.02E+07,3.50E+10,San Juan,Northeast/Bloomfield,0.25,4,87,"4,530",0.0192,4
2.02E+07,3.50E+10,Bernalillo,Alameda Coors,0.14,3,144,"7,592",0.019,4
2.02E+07,3.50E+10,Sandoval,Bernalillo/Placitas,0.15,3,71,"3,785",0.0188,4
2.02E+07,3.50E+10,Santa Fe,South,0.26,4,46,"2,447",0.0188,4
2.02E+07,3.50E+10,Bernalillo,Montano Coors,0.09,2,36,"1,930",0.0187,4
2.02E+07,3.50E+10,Mckinley,NW,0.37,5,71,"3,799",0.0187,4
2.02E+07,3.50E+10,Quay/DeBaca/Harding,N/A,0.27,4,54,"2,903",0.0186,4
2.02E+07,3.50E+10,Sandoval,Rio Rancho So.,0.05,1,160,"8,616",0.0186,4
2.02E+07,3.51E+10,Socorro,N/A,0.31,5,66,"3,553",0.0186,4
2.02E+07,3.50E+10,Bernalillo,Montano Coors,0.18,3,68,"3,684",0.0185,4
2.02E+07,3.50E+10,San Juan,Northeast/Bloomfield,0.12,3,79,"4,261",0.0185,4
2.02E+07,3.51E+10,Torrance,N/A,0.29,4,122,"6,587",0.0185,4
2.02E+07,3.50E+10,Bernalillo,Montgomery Louisiana,0.08,2,55,"2,994",0.0184,4
2.02E+07,3.50E+10,Bernalillo,Indian School Juan Tabo,0.12,3,52,"2,839",0.0183,4
2.02E+07,3.50E+10,Dona Ana,Las Alturas Talavera,0.08,2,71,"3,870",0.0183,4
2.02E+07,3.50E+10,Lincoln,N/A,0.17,3,44,"2,408",0.0183,4
2.02E+07,3.50E+10,Bernalillo,Irving Unser,0.15,3,65,"3,575",0.0182,4
2.02E+07,3.50E+10,Bernalillo,Montgomery Louisiana,0.13,3,92,"5,087",0.0181,4
2.02E+07,3.50E+10,Santa Fe,Opera Vicinity,0.03,1,70,"3,864",0.0181,4
2.02E+07,3.50E+10,Bernalillo,Academy Tramway,0.13,3,82,"4,549",0.018,4
2.02E+07,3.50E+10,Bernalillo,Indian School Pennsylvania,0.14,3,23,"1,278",0.018,4
2.02E+07,3.50E+10,Mora/Guadalupe/San Miguel East,N/A,0.15,3,79,"4,381",0.018,4
2.02E+07,3.51E+10,Valencia,SE,0.19,3,82,"4,597",0.0178,4
2.02E+07,3.51E+10,Valencia,SE,0.3,4,28,"1,575",0.0178,4
2.02E+07,3.50E+10,Bernalillo,Alameda Edith,0.06,2,115,"6,494",0.0177,4
2.02E+07,3.50E+10,San Juan,Northeast/Bloomfield,0.27,4,67,"3,790",0.0177,4
2.02E+07,3.50E+10,Bernalillo,Montgomery Louisiana,0.22,4,126,"7,176",0.0176,4
2.02E+07,3.50E+10,Bernalillo,Paseo Louisiana,0.12,3,114,"6,485",0.0176,4
