Geometries_ID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent_Category 
35039940800,Rio Arriba,Espanola and Pueblos,0.2,3,7,4360,0.0016,4
35007950500,Colfax/Union,,0.19,3,6,3889,0.0015,4
35039000400,Rio Arriba,North,0.22,4,7,4615,0.0015,4
35049010800,Santa Fe,East Foothills + Eldorado,0.09,2,4,2885,0.0014,4
35047957700,San Miguel,N/A,0.33,5,3,2290,0.0013,4
35049000500,Santa Fe,Agua Fria Neighborhood + Downtown,0.09,2,3,2331,0.0013,4
35001003805,Bernalillo,East Mountain,0.07,2,3,2433,0.0012,4
35035000100,Otero,Alamogordo S.W.,0.44,6,2,1682,0.0012,4
35035000401,Otero,Alamogordo N.E.,0.14,3,6,5135,0.0012,4
35053978302,Socorro,N/A,0.32,5,4,3459,0.0012,4
35035000304,Otero,Alamogordo N.E.,0.08,2,4,3466,0.0012,4
35028000400,Los Alamos,,0.11,3,4,3481,0.0011,4
35033955200,Mora/Guadalupe/San Miguel East,,0.19,3,5,4505,0.0011,4
35047957200,San Miguel,Las Vegas,0.32,5,4,3651,0.0011,4
35013001900,Military Bases,,0.02,1,2,1840,0.0011,4
35017964600,Hidalgo/Grant,,0.23,4,3,2874,0.001,4
35017964200,Hidalgo/Grant,,0.1,2,2,1969,0.001,4
35047957500,Mora/Guadalupe/San Miguel East,,0.17,3,4,4145,0.001,4
35028000200,Los Alamos,,0.06,2,5,5323,0.0009,4
35017964100,Hidalgo/Grant,,0.15,3,2,2281,0.0009,4
35003976400,Sierra/Catron,,0.23,4,3,3518,0.0009,4
35035000601,Military Bases,,0.11,3,3,3678,0.0008,4
35049010102,Santa Fe,Pueblos Plus,0.21,4,4,5014,0.0008,4
35049010203,Santa Fe,Pueblos Plus,0.18,3,1,1317,0.0008,4
35028000500,Los Alamos,,0.02,1,4,6011,0.0007,4
35047957600,San Miguel,Pecos/Villanueva,0.19,3,4,6219,0.0006,4
35049010602,Santa Fe,East Foothills + Eldorado,0.07,2,2,3189,0.0006,4
35039000100,Rio Arriba,Espanola and Pueblos,0.27,4,2,3216,0.0006,4
35001000119,Bernalillo,Montgomery Louisiana,0.08,2,1,1823,0.0005,4
35055952300,Taos,Northwest,0.38,5,1,2922,0.0003,4
35049000800,Santa Fe,Agua Fria Neighborhood + Downtown,0.26,4,1,3085,0.0003,4
35035000901,Otero,,0.15,3,1,3186,0.0003,4
35007950600,Colfax,,0.3,5,1,3220,0.0003,4
35011960100,Quay/DeBaca/Harding,,0.17,3,0,1805,0,4
35035000602,Otero,,0.15,3,0,2223,0,4
