Date,GeoID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,Percent,Percent_Category
20201117,35013001104,Dona Ana,Mesilla Picacho Mesilla Park,0.39,5,206,"5,084",0.0405,4%,3
20201117,35013001306,Dona Ana,Dona Ana Fort Selden,0.17,3,420,"10,372",0.0405,4%,3
20201117,35001004001,Bernalillo,Rio Bravo Second,0.27,4,204,"5,085",0.0401,4%,3
20201117,35015000200,Eddy,Carlsbad,0.09,2,191,"4,772",0.04,4%,3
20201117,35013001307,Dona Ana,Dona Ana Fort Selden,0.16,3,264,"6,610",0.0399,4%,3
20201117,35001000501,Bernalillo,Lomas San Mateo,0.32,5,104,"2,613",0.0398,4%,3
20201117,35001004603,Bernalillo,N/A,0.18,3,147,"3,694",0.0398,4%,3
20201117,35031945400,Mckinley,N/A,0.3,4,129,"3,245",0.0398,4%,3
20201117,35013000600,Dona Ana,Central Las Cruces,0.4,5,114,"2,880",0.0396,4%,3
20201117,35013001303,Dona Ana,Dona Ana Fort Selden,0.24,4,287,"7,347",0.0391,4%,3
20201117,35001000707,Bernalillo,Central Tabo,0.32,5,242,"6,326",0.0383,4%,3
20201117,35015000800,Eddy,N/A,0.16,3,92,"2,400",0.0383,4%,3
20201117,35049001302,Santa Fe,Airport Road,0.17,3,116,"3,038",0.0382,4%,3
20201117,35001000603,Bernalillo,Central Penn,0.47,6,203,"5,380",0.0377,4%,3
20201117,35013001304,Dona Ana,Sonoma Butterfield Moongate,0.3,5,304,"8,124",0.0374,4%,3
20201117,35001004300,Bernalillo,Arenal Tapia,0.34,5,191,"5,190",0.0368,4%,3
20201117,35001002900,Bernalillo,Candelaria Second,0.2,4,148,"4,038",0.0367,4%,3
20201117,35005001002,Chaves,Roswell N.W.,0.13,3,153,"4,186",0.0366,4%,3
20201117,35001003733,Bernalillo,Comanche Carlysle,0.47,6,136,"3,745",0.0363,4%,3
20201117,35027960600,Lincoln,N/A,0.12,3,218,"6,049",0.036,4%,3
20201117,35025000504,Lea,Hobbs No.,0.05,1,142,"3,956",0.0359,4%,3
20201117,35001000901,Bernalillo,Central Penn,0.52,6,279,"7,787",0.0358,4%,3
20201117,35061970301,Valencia,SE,0.36,5,265,"7,474",0.0355,4%,3
20201117,35015000300,Eddy,Carlsbad,0.08,2,216,"6,119",0.0353,4%,3
20201117,35001002402,Bernalillo,Central Coors,0.37,5,298,"8,479",0.0351,4%,3
20201117,35001004740,Bernalillo,So. Ninetyeight,0.18,3,264,"7,574",0.0349,3%,3
20201117,35013000800,Dona Ana,University District,0.3,4,123,"3,551",0.0346,3%,3
20201117,35013001201,Dona Ana,Sonoma Butterfield Moongate,0.18,3,519,"15,505",0.0335,3%,3
20201117,35025001005,Lea,N/A,0.25,4,130,"3,875",0.0335,3%,3
20201117,35025000703,Lea,N/A,0.08,2,86,"2,591",0.0332,3%,3
20201117,35015000401,Eddy,Carlsbad,0.1,2,125,"3,771",0.0331,3%,3
20201117,35009000602,Roosevelt County/Curry County,N/A,0.06,2,147,"4,477",0.0328,3%,3
20201117,35001002300,Bernalillo,Central Coors,0.25,4,297,"9,085",0.0327,3%,3
20201117,35049001304,Santa Fe,Airport Road,0.25,4,31,961,0.0323,3%,3
20201117,35013000700,Dona Ana,University District,0.35,5,205,"6,390",0.0321,3%,3
20201117,35027960400,Lincoln,N/A,0.18,3,212,"6,603",0.0321,3%,3
20201117,35001940700,Bernalillo,Southwest,0.27,4,81,"2,531",0.032,3%,3
20201117,35009000304,Curry,Clovis East,0.06,2,208,"6,499",0.032,3%,3
20201117,35001001300,Bernalillo,Rio Bravo Second,0.35,5,151,"4,742",0.0318,3%,3
20201117,35005001102,Chaves,N/A,0.17,3,123,"3,864",0.0318,3%,3
20201117,35001002401,Bernalillo,Central Coors,0.15,3,167,"5,341",0.0313,3%,3
20201117,35001004401,Bernalillo,Arenal Tapia,0.31,5,101,"3,236",0.0312,3%,3
20201117,35005001400,Chaves,N/A,0.16,3,87,"2,787",0.0312,3%,3
20201117,35061940300,Valencia,NE,0.26,4,26,834,0.0312,3%,3
20201117,35001004745,Bernalillo,Alameda Coors,0.07,2,207,"6,663",0.0311,3%,3
20201117,35001000708,Bernalillo,Central Tabo,0.25,4,193,"6,247",0.0309,3%,3
20201117,35049940600,Santa Fe,Pueblos Plus,0.13,3,106,"3,435",0.0309,3%,3
20201117,35001004715,Bernalillo,Chavez OneEighteenth,0.26,4,165,"5,409",0.0305,3%,3
20201117,35001004402,Bernalillo,Arenal Tapia,0.16,3,124,"4,109",0.0302,3%,3
20201117,35013001703,Dona Ana,South Valley,0.24,4,94,"3,117",0.0302,3%,3
20201117,35001004501,Bernalillo,Arenal Tapia,0.29,4,109,"3,619",0.0301,3%,3
20201117,35049001303,Santa Fe,Airport Road,0.13,3,225,"7,510",0.03,3%,3
20201117,35045000202,San Juan,N/A,0.06,2,145,"4,892",0.0296,3%,3
20201117,35015000700,Eddy,N/A,0.08,2,163,"5,573",0.0292,3%,3
20201117,35001004604,Bernalillo,Isleta Gun Club,0.21,4,165,"5,679",0.0291,3%,3
20201117,35061970405,Valencia,Los Lunas,0.11,3,88,"3,030",0.029,3%,3
20201117,35013001203,Dona Ana,Las Alturas Talavera,0.28,4,130,"4,516",0.0288,3%,3
20201117,35001004744,Bernalillo,No. Ninetyeight,0.06,2,151,"5,270",0.0287,3%,3
20201117,35041000300,Roosevelt/Curry,N/A,0.15,3,121,"4,217",0.0287,3%,3
20201117,35041000401,Roosevelt/Curry,N/A,0.2,3,93,"3,246",0.0287,3%,3
20201117,35013001305,Dona Ana,Sonoma Butterfield Moongate,0.25,4,151,"5,287",0.0286,3%,3
20201117,35013000104,Dona Ana,Northwest Las Cruces,0.16,3,141,"4,969",0.0284,3%,3
20201117,35013001205,Dona Ana,Las Alturas Talavera,0.13,3,128,"4,510",0.0284,3%,3
20201117,35001002100,Bernalillo,Lomas Broadway,0.39,5,52,"1,864",0.0279,3%,3
20201117,35001004502,Bernalillo,Arenal Tapia,0.33,5,101,"3,628",0.0278,3%,3
20201117,35001002700,Bernalillo,Lomas Broadway,0.23,4,101,"3,645",0.0277,3%,3
20201117,35013000900,Dona Ana,University District,0.5,6,200,"7,212",0.0277,3%,3
20201117,35041000402,Roosevelt/Curry,N/A,0.18,3,99,"3,615",0.0274,3%,3
20201117,35061970101,Valencia,NE,0.38,5,130,"4,755",0.0273,3%,3
20201117,35045000205,San Juan,Farmington Southeast,0.34,5,182,"6,723",0.0271,3%,3
20201117,35013000103,Dona Ana,Northwest Las Cruces,0.38,5,134,"5,050",0.0265,3%,3
20201117,35015001100,Eddy,N/A,0.21,4,187,"7,064",0.0265,3%,3
20201117,35001002000,Bernalillo,Lomas Broadway,0.38,5,60,"2,348",0.0256,3%,3
20201117,35001000714,Bernalillo,Central Tabo,0.08,2,122,"4,784",0.0255,3%,3
20201117,35001003712,Bernalillo,Paseo Ventura,0.17,3,129,"5,084",0.0254,3%,3
20201117,35013000300,Dona Ana,Central Las Cruces,0.2,4,96,"3,802",0.0252,3%,3
20201117,35001000124,Bernalillo,Indian School Pennsylvania,0.16,3,90,"3,647",0.0247,2%,3
20201117,35013000500,Dona Ana,Central Las Cruces,0.28,4,73,"2,973",0.0246,2%,3
20201117,35051962402,Sierra/Catron,N/A,0.23,4,61,"2,482",0.0246,2%,3
20201117,35049001107,Santa Fe,Bellamah/Stamm,0.07,2,130,"5,303",0.0245,2%,3
20201117,35025001100,Lea,N/A,0.14,3,119,"4,893",0.0243,2%,3
20201117,35001002500,Bernalillo,Lomas Broadway,0.36,5,58,"2,419",0.024,2%,3
20201117,35001004749,Bernalillo,No. Ninetyeight,0.3,5,106,"4,410",0.024,2%,3
20201117,35013000102,Dona Ana,Northwest Las Cruces,0.22,4,98,"4,082",0.024,2%,3
20201117,35043011000,Sandoval,N/A,0.2,3,52,"2,167",0.024,2%,3
20201117,35061970901,Valencia,West and Belen,0.2,4,110,"4,602",0.0239,2%,3
20201117,35049010314,Santa Fe,Bellamah/Stamm,0.1,3,40,"1,690",0.0237,2%,3
20201117,35013001103,Dona Ana,Mesilla Picacho Mesilla Park,0.18,3,99,"4,189",0.0236,2%,3
20201117,35043010722,Sandoval,Rio Rancho West,0.12,3,132,"5,639",0.0234,2%,3
20201117,35055952700,Taos,Downtown and High Road,0.22,4,144,"6,144",0.0234,2%,3
20201117,35045000401,San Juan,Farmington West/Kirtland/La Plata,0.2,3,122,"5,260",0.0232,2%,3
20201117,35001001400,Bernalillo,Lomas Broadway,0.35,5,74,"3,223",0.023,2%,3
20201117,35001004602,Bernalillo,Isleta Gun Club,0.18,3,102,"4,457",0.0229,2%,3
20201117,35045000100,San Juan,Farmington Southeast,0.31,5,117,"5,106",0.0229,2%,3
20201117,35045943201,San Juan,South,0.36,5,130,"5,685",0.0229,2%,3
20201117,35001000904,Bernalillo,Central Penn,0.27,4,100,"4,380",0.0228,2%,3
20201117,35001000903,Bernalillo,Central Penn,0.44,6,140,"6,165",0.0227,2%,3
20201117,35001004751,Bernalillo,Irving Unser,0.06,2,62,"2,734",0.0227,2%,3
20201117,35006974202,Cibola,N/A,0.21,4,67,"2,949",0.0227,2%,3
20201117,35061971300,Valencia,West and Belen,0.23,4,46,"2,026",0.0227,2%,3
20201117,35006974400,Cibola,N/A,0.22,4,74,"3,269",0.0226,2%,3
20201117,35001000208,Bernalillo,Comanche Carlysle,0.24,4,63,"2,796",0.0225,2%,3
20201117,35001001500,Bernalillo,Lomas Broadway,0.23,4,61,"2,708",0.0225,2%,3
20201117,35015000900,Eddy,N/A,0.12,3,119,"5,288",0.0225,2%,3
20201117,35043010716,Sandoval,"Rio Rancho Blvd, So.",0.14,3,141,"6,268",0.0225,2%,3
20201117,35001000601,Bernalillo,Indian School Pennsylvania,0.17,3,86,"3,857",0.0223,2%,3
20201117,35049001002,Santa Fe,Agua Fria Neighborhood + Downtown,0.23,4,81,"3,637",0.0223,2%,3
20201117,35001003731,Bernalillo,Paseo Ventura,0.04,1,80,"3,606",0.0222,2%,3
20201117,35009000900,Military Bases,N/A,0.07,2,56,"2,520",0.0222,2%,3
20201117,35049940900,Santa Fe,Pueblos Plus,0.33,5,72,"3,237",0.0222,2%,3
20201117,35055940100,Taos,Downtown and High Road,0.17,3,170,"7,707",0.0221,2%,3
20201117,35043940500,Sandoval,Bernalillo/Placitas,0.24,4,105,"4,766",0.022,2%,3
20201117,35001004743,Bernalillo,No. Ninetyeight,0.06,2,70,"3,200",0.0219,2%,3
20201117,35049010900,Santa Fe,Opera Vicinity,0.09,2,63,"2,886",0.0218,2%,3
20201117,35001000713,Bernalillo,Central Tabo,0.36,5,133,"6,162",0.0216,2%,3
20201117,35025000800,Lea,N/A,0.19,3,76,"3,525",0.0216,2%,3
20201117,35001003719,Bernalillo,Academy Tramway,0.15,3,111,"5,162",0.0215,2%,3
20201117,35049010601,Santa Fe,East Foothills + Eldorado,0.07,2,104,"4,839",0.0215,2%,3
20201117,35001003600,Bernalillo,Alameda Edith,0.11,3,132,"6,206",0.0213,2%,3
20201117,35031944000,McKinley,Other,0.41,6,45,"2,158",0.0209,2%,3
20201117,35061970404,Valencia,Los Lunas,0.17,3,101,"4,842",0.0209,2%,3
20201117,35001000203,Bernalillo,Montgomery Louisiana,0.27,4,41,"1,988",0.0206,2%,3
20201117,35045000302,San Juan,Farmington Southeast,0.19,3,69,"3,350",0.0206,2%,3
20201117,35001003202,Bernalillo,Candelaria Second,0.2,4,111,"5,478",0.0203,2%,3
20201117,35045000204,San Juan,Farmington North,0.12,3,45,"2,232",0.0202,2%,3
20201117,35043010717,Sandoval,"Rio Rancho Blvd, No.",0.1,2,201,"9,986",0.0201,2%,3
20201117,35061970302,Valencia,SE,0.17,3,56,"2,787",0.0201,2%,3
20201117,35043010718,Sandoval,"Rio Rancho Blvd, No.",0.08,2,109,"5,442",0.02,2%,3
20201117,35001000712,Bernalillo,Central Tabo,0.16,3,86,"4,329",0.0199,2%,3
20201117,35001000121,Bernalillo,Indian School Pennsylvania,0.16,3,113,"5,721",0.0198,2%,3
20201117,35049001001,Santa Fe,Agua Fria Neighborhood + Downtown,0.14,3,38,"1,924",0.0198,2%,3
20201117,35001000205,Bernalillo,Comanche Carlysle,0.22,4,65,"3,302",0.0197,2%,3
20201117,35001000207,Bernalillo,Indian School Pennsylvania,0.14,3,67,"3,407",0.0197,2%,3
20201117,35013001102,Dona Ana,Mesilla Picacho Mesilla Park,0.13,3,57,"2,890",0.0197,2%,3
20201117,35061970401,Valencia,Los Lunas,0.1,2,99,"5,088",0.0195,2%,3
20201117,35001000704,Bernalillo,Central Tabo,0.17,3,73,"3,769",0.0194,2%,3
20201117,35001003201,Bernalillo,Candelaria Second,0.19,3,57,"2,941",0.0194,2%,3
20201117,35001004750,Bernalillo,No. Ninetyeight,0.07,2,131,"6,736",0.0194,2%,3
20201117,35001004742,Bernalillo,No. Ninetyeight,0.13,3,124,"6,425",0.0193,2%,3
20201117,35049001103,Santa Fe,Bellamah/Stamm,0.19,3,38,"1,967",0.0193,2%,3
20201117,35043940900,Sandoval,Other West,0.68,6,56,"2,921",0.0192,2%,3
20201117,35045000708,San Juan,Northeast/Bloomfield,0.25,4,87,"4,530",0.0192,2%,3
20201117,35001004746,Bernalillo,Alameda Coors,0.14,3,144,"7,592",0.019,2%,3
20201117,35043010503,Sandoval,Bernalillo/Placitas,0.15,3,71,"3,785",0.0188,2%,3
20201117,35049010308,Santa Fe,South,0.26,4,46,"2,447",0.0188,2%,3
20201117,35001004727,Bernalillo,Montano Coors,0.09,2,36,"1,930",0.0187,2%,3
20201117,35031943700,Mckinley,NW,0.37,5,71,"3,799",0.0187,2%,3
20201117,35037958601,Quay/DeBaca/Harding,N/A,0.27,4,54,"2,903",0.0186,2%,3
20201117,35043010720,Sandoval,Rio Rancho So.,0.05,1,160,"8,616",0.0186,2%,3
20201117,35053978303,Socorro,N/A,0.31,5,66,"3,553",0.0186,2%,3
20201117,35001004729,Bernalillo,Montano Coors,0.18,3,68,"3,684",0.0185,2%,3
20201117,35045000707,San Juan,Northeast/Bloomfield,0.12,3,79,"4,261",0.0185,2%,3
20201117,35057963600,Torrance,N/A,0.29,4,122,"6,587",0.0185,2%,3
20201117,35001000206,Bernalillo,Montgomery Louisiana,0.08,2,55,"2,994",0.0184,2%,3
20201117,35001000127,Bernalillo,Indian School Juan Tabo,0.12,3,52,"2,839",0.0183,2%,3
20201117,35013001204,Dona Ana,Las Alturas Talavera,0.08,2,71,"3,870",0.0183,2%,3
20201117,35027960800,Lincoln,N/A,0.17,3,44,"2,408",0.0183,2%,3
20201117,35001004720,Bernalillo,Irving Unser,0.15,3,65,"3,575",0.0182,2%,3
20201117,35001003707,Bernalillo,Montgomery Louisiana,0.13,3,92,"5,087",0.0181,2%,3
20201117,35049010304,Santa Fe,Opera Vicinity,0.03,1,70,"3,864",0.0181,2%,3
20201117,35001003728,Bernalillo,Academy Tramway,0.13,3,82,"4,549",0.018,2%,3
20201117,35009000601,Bernalillo,Indian School Pennsylvania,0.14,3,23,"1,278",0.018,2%,3
20201117,35019961600,Mora/Guadalupe/San Miguel East,N/A,0.15,3,79,"4,381",0.018,2%,3
20201117,35061971000,Valencia,SE,0.19,3,82,"4,597",0.0178,2%,3
20201117,35061971100,Valencia,SE,0.3,4,28,"1,575",0.0178,2%,3
20201117,35001003735,Bernalillo,Alameda Edith,0.06,2,115,"6,494",0.0177,2%,3
20201117,35045000705,San Juan,Northeast/Bloomfield,0.27,4,67,"3,790",0.0177,2%,3
20201117,35001003714,Bernalillo,Montgomery Louisiana,0.22,4,126,"7,176",0.0176,2%,3
20201117,35001003722,Bernalillo,Paseo Louisiana,0.12,3,114,"6,485",0.0176,2%,3
20201117,35049940400,Santa Fe,Pueblos Plus,0.17,3,26,"1,475",0.0176,2%,3
20201117,35001000110,Bernalillo,Comanche Juan Tabo,0.23,4,63,"3,601",0.0175,2%,3
20201117,35057963202,Torrance,N/A,0.23,4,53,"3,047",0.0174,2%,3
20201117,35001004728,Bernalillo,Montano Coors,0.05,1,90,"5,201",0.0173,2%,3
20201117,35001000120,Bernalillo,Montgomery Moon,0.26,4,47,"2,737",0.0172,2%,3
20201117,35001003715,Bernalillo,Paseo Ventura,0.04,1,73,"4,244",0.0172,2%,3
20201117,35045943300,San Juan,Farmington West/Kirtland/La Plata,0.23,4,38,"2,204",0.0172,2%,3
20201117,35001003501,Bernalillo,Alameda Edith,0.13,3,97,"5,669",0.0171,2%,3
20201117,35025000900,Lea,N/A,0.16,3,41,"2,403",0.0171,2%,3
20201117,35037958900,Quay/DeBaca/Harding,N/A,0.11,3,47,"2,749",0.0171,2%,3
20201117,35051962300,Sierra/Catron,N/A,0.28,4,54,"3,167",0.0171,2%,3
20201117,35001003723,Bernalillo,Paseo Louisiana,0.11,3,97,"5,704",0.017,2%,3
20201117,35049001102,Santa Fe,Agua Fria Village,0.12,3,56,"3,289",0.017,2%,3
